(title "Cumulative Force")
(labels "Distance [m]" "Cumulative Force [N]")

((xy/key/label "Cumulative Force [N]")
0	0
0.0204654	460.167
0.0409308	426.043
0.0613961	389.272
0.0818615	304.83
0.102327	222.33
0.122792	174.032
0.143258	99.3422
0.163723	32.645
0.184188	-25.3798
0.204654	-74.4411
0.225119	-114.543
0.245585	-145.796
0.26605	-168.291
0.286515	-182.231
0.306981	-188.38
0.327446	-188.166
0.347911	-177.93
0.368377	-166.558
0.388842	-151.702
0.409308	-133.99
0.429773	-113.915
0.450238	-91.9407
0.470704	-66.1813
0.491169	-41.3447
0.511634	-5.27052
0.5321	21.0988
0.552565	47.6969
0.573031	74.33
0.593496	100.741
0.613961	126.614
0.634427	151.744
0.654892	176.119
0.675357	199.494
0.695823	230.031
0.716288	250.322
0.736754	270.982
0.757219	288.083
0.777684	303.383
0.79815	316.663
0.818615	327.812
0.83908	336.543
0.859546	342.644
0.880011	346.783
0.900477	345.541
0.920942	341.849
0.941407	333.216
0.961873	319.862
0.982338	298.349
1.0028	267.973
1.02327	233.42
)
