(title "Cumulative Force")
(labels "Distance [m]" "Cumulative Force [N]")

((xy/key/label "Cumulative Force [N]")
0	0
0.0199913	527.344
0.0399827	384.532
0.059974	246.537
0.0799654	161.215
0.0999567	101.545
0.119948	46.0935
0.139939	-5.26583
0.159931	-51.5835
0.179922	-92.1792
0.199913	-128.898
0.219905	-155.854
0.239896	-175.772
0.259887	-188.787
0.279879	-196.034
0.29987	-200.336
0.319861	-199.537
0.339853	-195.768
0.359844	-189.447
0.379835	-180.67
0.399827	-168.828
0.419818	-154.484
0.439809	-137.551
0.459801	-118.332
0.479792	-96.8742
0.499783	-73.1895
0.519775	-47.4177
0.539766	-17.4726
0.559757	11.4335
0.579749	41.0228
0.59974	70.7798
0.619731	100.411
0.639723	129.685
0.659714	158.087
0.679706	185.307
0.699697	211.177
0.719688	235.419
0.73968	257.816
0.759671	276.809
0.779662	292.448
0.799654	304.463
0.819645	319.181
0.839636	327.549
0.859628	330.543
0.879619	333.21
0.89961	340.277
0.919602	338.311
0.939593	329.902
0.959584	312.601
0.979576	289.59
0.999567	258.021
)
