(title "Cumulative Force")
(labels "Distance [m]" "Cumulative Force [N]")

((xy/key/label "Cumulative Force [N]")
0	0
0.0199927	677.02
0.0399854	543.001
0.059978	420.024
0.0799707	301.914
0.0999634	196.549
0.119956	105.678
0.139949	29.5158
0.159941	-32.5899
0.179934	-81.7547
0.199927	-118.929
0.21992	-144.926
0.239912	-160.523
0.259905	-167.853
0.279898	-168.944
0.29989	-164.424
0.319883	-155.161
0.339876	-142.197
0.359868	-126.146
0.379861	-107.486
0.399854	-86.7597
0.419846	-64.4194
0.439839	-40.8249
0.459832	-16.2933
0.479824	8.93085
0.499817	34.571
0.51981	60.357
0.539802	86.1253
0.559795	111.659
0.579788	136.651
0.59978	160.828
0.619773	184.272
0.639766	206.764
0.659759	228.021
0.679751	247.994
0.699744	266.621
0.719737	283.838
0.739729	299.497
0.759722	313.314
0.779715	325.223
0.799707	335.018
0.8197	342.452
0.839693	347.335
0.859685	349.392
0.879678	348.251
0.899671	343.497
0.919663	334.551
0.939656	320.865
0.959649	295.952
0.979641	267.862
0.999634	232.525
)
