"C_d_NACA_0012_act_3D_3147-rfile"
"Iteration" "C_d_NACA_0012_act_3D_3147"
("Iteration" "C_d_NACA_0012_act_3D_3147")
1 0.1813297870344887
2 0.1136694761625994
3 0.08578735063659504
4 0.06694987332436342
5 0.05379559614728456
6 0.04399275483975159
7 0.0359112063945524
8 0.02739928634909439
9 0.02155348775965908
10 0.01743030402170579
11 0.01461965078995387
12 0.01273483262067069
13 0.01151931088550948
14 0.0107919682789215
15 0.01045121607782486
16 0.01042391052664175
17 0.01058686770505069
18 0.01087943221357258
19 0.01131224356629601
20 0.01177089564946151
21 0.01227103720970289
22 0.01267932561573811
23 0.01298816419141845
24 0.01317884178838891
25 0.0132134273107347
26 0.01309260625611223
27 0.01283974970140337
28 0.01245919605187966
29 0.01182012882260985
30 0.01116737220495234
31 0.01070734787264068
32 0.0101388730205464
33 0.009760925924909994
34 0.009444853382225419
35 0.009195317687147077
36 0.009023270653446908
37 0.00894097234477912
38 0.008923674484072141
39 0.008979462510478809
40 0.009152955909762443
41 0.009375601500494884
42 0.009613568601656233
43 0.009847812655769967
44 0.01007339871865899
45 0.01027030186470776
46 0.01043546119117071
47 0.01056948212271914
48 0.01066582230137609
49 0.01072440585694446
50 0.01075438440045767
51 0.01075748554188816
52 0.01074833622878994
53 0.01072845114441791
54 0.01069561083277018
55 0.01065290702046928
56 0.01060382243957481
57 0.01054841527305598
58 0.01049112710878763
59 0.01043380008571683
60 0.01037668332652113
61 0.01032187369089838
62 0.01026082126111355
63 0.01021007953237433
64 0.01016844255320865
65 0.01013496345796877
66 0.01010837710695833
67 0.0100915375574324
68 0.01007610371774407
69 0.01006892965679745
70 0.01006351417584522
71 0.01006212377380603
72 0.01006350004615657
73 0.01006756408300628
74 0.01007355604479385
75 0.01008128591544838
76 0.01009004379303727
77 0.01009975705926911
78 0.01010985959362753
79 0.01012021265324469
80 0.01013034792080336
81 0.0101401803832535
82 0.01014949237896135
83 0.01015817664415482
84 0.01016599893810243
85 0.01017320050380889
86 0.01017934836989598
87 0.01018443666004911
88 0.01018852324173152
89 0.01019167732156139
90 0.01019394051635647
91 0.01019541738149346
92 0.01019613989957788
93 0.010196227224062
94 0.01019576361415611
95 0.01019487782415288
96 0.01019360695742601
97 0.010192061090047
98 0.01019032266274541
99 0.0101884930475883
100 0.01018659340792627
101 0.01018470320346604
102 0.01018290653430795
103 0.01018121971694475
104 0.01017961790265276
105 0.0101781660974277
106 0.01017688466796351
107 0.01017579821035012
108 0.01017488578536479
109 0.01017413928037103
110 0.01017355719196698
111 0.01017316109431645
112 0.01017288605396727
113 0.01017273542824341
114 0.0101726961437929
115 0.01017276897999294
116 0.01017290843837673
117 0.01017310104533649
118 0.0101733423421402
119 0.01017363819666036
120 0.01017393899492126
121 0.01017424699371454
122 0.01017455013670046
123 0.01017487188159174
124 0.01017515936034065
125 0.01017542609101509
126 0.01017565544222672
127 0.01017589288999151
128 0.01017607725030204
129 0.01017624284845648
130 0.01017636533382529
131 0.01017649955531631
132 0.01017657687105068
133 0.01017664302763354
