(title "Cumulative Force")
(labels "Distance [m]" "Cumulative Force [N]")

((xy/key/label "Cumulative Force [N]")
0	0
0.0199927	670.035
0.0399853	526.632
0.059978	400.523
0.0799707	283.855
0.0999633	182.812
0.119956	96.8423
0.139949	24.5653
0.159941	-35.3513
0.179934	-83.9835
0.199927	-121.909
0.219919	-149.52
0.239912	-167.056
0.259905	-175.49
0.279897	-176.964
0.29989	-172.728
0.319883	-163.337
0.339875	-149.898
0.359868	-133.381
0.379861	-114.239
0.399853	-92.97
0.419846	-70.1239
0.439839	-46.0933
0.459831	-21.194
0.479824	4.31708
0.499817	30.1776
0.519809	56.1476
0.539802	82.069
0.559795	107.718
0.579787	132.801
0.59978	157.06
0.619773	180.576
0.639765	203.132
0.659758	224.449
0.679751	244.479
0.699743	263.159
0.719736	280.428
0.739729	296.138
0.759721	310.005
0.779714	321.964
0.799707	331.808
0.819699	339.293
0.839692	344.23
0.859685	346.349
0.879677	345.275
0.89967	340.596
0.919663	331.729
0.939655	318.11
0.959648	293.191
0.979641	265.181
0.999633	229.833
)
